      Comparison1   Comparison2  HMAX_C1_1_Prediction  HMAX_C1_2_Prediction  HMAX_C1_3_Prediction  HMAX_C1_4_Prediction  HMAX_C1_5_Prediction  HMAX_C1_6_Prediction  HMAX_C1_7_Prediction  HMAX_C1_8_Prediction  HMAX_C1_Prediction  HMAX_C2_1_Prediction  HMAX_C2_2_Prediction  HMAX_C2_3_Prediction  HMAX_C2_4_Prediction  HMAX_C2_5_Prediction  HMAX_C2_6_Prediction  HMAX_C2_7_Prediction  HMAX_C2_8_Prediction  HMAX_C2_Prediction
55    o2_t2_mf_d2   o2_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     0                     0                     0                     0                     0                   0
56    o3_t1_cs_d1   o3_t1_cs_d2                     0                     0                     0                     1                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
57    o3_t1_cs_d1   o3_t2_ap_d1                     1                     1                     1                     1                     0                     0                     0                     0                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
58    o3_t1_cs_d1   o3_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
59    o3_t1_cs_d1   o3_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
60    o3_t1_cs_d1   o3_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     0                     0                     0                     0                     0                     0                   0
61    o3_t1_cs_d1   o3_t2_rp_d1                     1                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
62    o3_t1_cs_d1   o3_t2_rp_d2                     1                     0                     0                     1                     0                     0                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
63    o3_t1_cs_d2   o3_t2_ap_d1                     1                     1                     1                     1                     1                     0                     0                     0                   1                     1                     1                     1                     1                     1                     0                     0                     0                   0
64    o3_t1_cs_d2   o3_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
65    o3_t1_cs_d2   o3_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
66    o3_t1_cs_d2   o3_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
67    o3_t1_cs_d2   o3_t2_rp_d1                     1                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
68    o3_t1_cs_d2   o3_t2_rp_d2                     1                     1                     1                     0                     0                     0                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
69    o3_t2_ap_d1   o3_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
70    o3_t2_ap_d1   o3_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
71    o3_t2_ap_d1   o3_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
72    o3_t2_ap_d1   o3_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
73    o3_t2_ap_d1   o3_t2_rp_d2                     1                     0                     0                     0                     0                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
74    o3_t2_ap_d2   o3_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     0                     0                     0                     0                     0                   0
75    o3_t2_ap_d2   o3_t2_mf_d2                     1                     1                     0                     1                     0                     0                     0                     0                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
76    o3_t2_ap_d2   o3_t2_rp_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
77    o3_t2_ap_d2   o3_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     1                     1                     0                     0                     0                   0
78    o3_t2_rp_d1   o3_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
79    o3_t2_mf_d1   o3_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
80    o3_t2_mf_d1   o3_t2_rp_d1                     1                     1                     1                     0                     0                     0                     0                     0                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
81    o3_t2_mf_d1   o3_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     1                     1                     0                     1                     0                   0
82    o3_t2_mf_d2   o3_t2_rp_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
83    o3_t2_mf_d2   o3_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
84    o4_t1_cs_d1   o4_t1_cs_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     1                     1                     1                     1                     1                     1                   1
85    o4_t1_cs_d1   o4_t2_ap_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     1                     1                   0
86    o4_t1_cs_d1   o4_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
87    o4_t1_cs_d1   o4_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     1                     0                     1                     0                   0
88    o4_t1_cs_d1   o4_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
89    o4_t1_cs_d1   o4_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
90    o4_t1_cs_d1   o4_t2_rp_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     1                     1                     0                     0                     0                   0
91    o4_t1_cs_d2   o4_t2_ap_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     1                   0
92    o4_t1_cs_d2   o4_t2_ap_d2                     1                     1                     0                     0                     0                     0                     0                     0                   0                     1                     1                     0                     0                     0                     0                     0                     0                   0
93    o4_t1_cs_d2   o4_t2_mf_d1                     0                     0                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
94    o4_t1_cs_d2   o4_t2_mf_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
