      Comparison1   Comparison2  TE_DfPS_Prediction  TE_DfP_Prediction  TE_DfS_Prediction  TE_NoCond_Prediction  TE_OnlyDF_Prediction  TE_OnlyP_Prediction  TE_OnlyS_Prediction  TE_VolD_Prediction  TE_VolI_Prediction  VOL_IntDifference_Prediction  VOL_IntDifference_Uncertain_Prediction  VOL_IntRatio_Prediction  VOL_IntRatio_Uncertain_Prediction  VOL_Intersection_Prediction  VOL_Intersection_Uncertain_Prediction
43    o1_t2_rp_d1   o1_t1_cs_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
44    o1_t2_rp_d1   o1_t2_mf_d1                 0.5                0.5                0.0                   0.0                   0.0                  0.5                  0.0                   1                 0.0                             1                                       1                        1                                  1                            0                                      0
45    o1_t2_rp_d1   o1_t2_mf_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   1                 0.0                             1                                       1                        0                                  0                            0                                      0
46    o1_t2_rp_d1   o1_t2_ap_d1                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
47    o1_t2_rp_d1   o1_t2_ap_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
48    o1_t2_rp_d1   o1_t2_rp_d2                 0.0                0.0                0.0                   0.0                   0.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
49    o1_t2_rp_d2   o1_t1_cs_d1                 1.0                1.0                0.5                   0.0                   0.0                  1.0                  0.5                   1                 1.0                             1                                       0                        1                                  0                            0                                      0
50    o1_t2_rp_d2   o1_t1_cs_d2                 0.5                0.5                0.5                   0.0                   0.0                  0.5                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
51    o1_t2_rp_d2   o1_t2_mf_d1                 1.0                1.0                0.5                   0.0                   0.5                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
52    o1_t2_rp_d2   o1_t2_mf_d2                 0.5                0.5                0.5                   0.0                   0.5                  0.5                  0.0                   1                 0.5                             1                                       1                        1                                  1                            1                                      1
53    o1_t2_rp_d2   o1_t2_ap_d1                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
54    o1_t2_rp_d2   o1_t2_ap_d2                 0.5                0.5                0.5                   0.5                   0.5                  0.5                  0.5                   0                 0.5                             0                                       0                        0                                  0                            0                                      0
55    o1_t2_rp_d2   o1_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
56    o2_t1_cs_d1   o2_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            1                                      1
57    o2_t1_cs_d1   o2_t2_mf_d1                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
58    o2_t1_cs_d1   o2_t2_mf_d2                 0.0                0.0                0.5                   0.5                   1.0                  0.0                  0.0                   0                 0.0                             0                                       0                        0                                  0                            1                                      1
59    o2_t1_cs_d1   o2_t2_ap_d1                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      1
60    o2_t1_cs_d1   o2_t2_ap_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      1
61    o2_t1_cs_d1   o2_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 1.0                             0                                       1                        1                                  1                            1                                      1
62    o2_t1_cs_d1   o2_t2_rp_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            1                                      1
63    o2_t1_cs_d2   o2_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            0                                      0
64    o2_t1_cs_d2   o2_t2_mf_d1                 1.0                1.0                0.5                   0.5                   1.0                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
65    o2_t1_cs_d2   o2_t2_mf_d2                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
66    o2_t1_cs_d2   o2_t2_ap_d1                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   0                 1.0                             0                                       1                        0                                  1                            0                                      0
67    o2_t1_cs_d2   o2_t2_ap_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   1                 1.0                             1                                       1                        0                                  1                            0                                      0
68    o2_t1_cs_d2   o2_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
69    o2_t1_cs_d2   o2_t2_rp_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
70    o2_t2_mf_d1   o2_t1_cs_d1                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
71    o2_t2_mf_d1   o2_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.0                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
72    o2_t2_mf_d1   o2_t2_mf_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
73    o2_t2_mf_d1   o2_t2_ap_d1                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
