,Accuracy,AccuracySD,C,model_name,nfolds,pca,subject_data_file,threshold
64,0.478095238095,0.0489319023313,1.0,"('alexnet', 'pool1')",50,True,HumanPredictions_20151118.txt,0.5
65,0.461428571429,0.0719252572494,1.0,"('alexnet', 'norm1')",50,True,HumanPredictions_20151118.txt,0.5
66,0.495,0.0745009853988,1.0,"('alexnet', 'conv2')",50,True,HumanPredictions_20151118.txt,0.5
67,0.452142857143,0.0510929303167,1.0,"('alexnet', 'pool2')",50,True,HumanPredictions_20151118.txt,0.5
68,0.494047619048,0.0654761904762,1.0,"('alexnet', 'norm2')",50,True,HumanPredictions_20151118.txt,0.5
69,0.535952380952,0.0639093923523,1.0,"('alexnet', 'conv3')",50,True,HumanPredictions_20151118.txt,0.5
70,0.483571428571,0.0541314642283,1.0,"('alexnet', 'conv4')",50,True,HumanPredictions_20151118.txt,0.5
71,0.514523809524,0.0581405950966,1.0,"('alexnet', 'conv5')",50,True,HumanPredictions_20151118.txt,0.5
72,0.484523809524,0.052394478773,1.0,"('alexnet', 'pool5')",50,True,HumanPredictions_20151118.txt,0.5
73,0.535238095238,0.0655069191963,1.0,"('alexnet', 'fc6')",50,True,HumanPredictions_20151118.txt,0.5
74,0.512380952381,0.073307045381,1.0,"('alexnet', 'fc7')",50,True,HumanPredictions_20151118.txt,0.5
75,0.514761904762,0.0693572695469,1.0,"('alexnet', 'fc8')",50,True,HumanPredictions_20151118.txt,0.5
76,0.522619047619,0.0578453838726,1.0,"('alexnet', 'prob')",50,True,HumanPredictions_20151118.txt,0.5
77,0.431666666667,0.0743760897136,1.0,"('googlenet', 'pool1_norm1')",50,True,HumanPredictions_20151118.txt,0.5
78,0.471666666667,0.0640157470707,1.0,"('googlenet', 'conv2_norm2')",50,True,HumanPredictions_20151118.txt,0.5
79,0.526904761905,0.069977725643,1.0,"('googlenet', 'inception_3a_output')",50,True,HumanPredictions_20151118.txt,0.5
80,0.525714285714,0.0621040747437,1.0,"('googlenet', 'inception_3b_output')",50,True,HumanPredictions_20151118.txt,0.5
81,0.509285714286,0.0537847604207,1.0,"('googlenet', 'pool3_3x3_s2')",50,True,HumanPredictions_20151118.txt,0.5
82,0.503571428571,0.0627799851116,1.0,"('googlenet', 'inception_4a_output')",50,True,HumanPredictions_20151118.txt,0.5
83,0.538571428571,0.0725139755081,1.0,"('googlenet', 'inception_4b_output')",50,True,HumanPredictions_20151118.txt,0.5
84,0.523571428571,0.0689445042857,1.0,"('googlenet', 'inception_4c_output')",50,True,HumanPredictions_20151118.txt,0.5
85,0.498571428571,0.0609654003952,1.0,"('googlenet', 'inception_4d_output')",50,True,HumanPredictions_20151118.txt,0.5
86,0.459523809524,0.0655519042759,1.0,"('googlenet', 'inception_4e_output')",50,True,HumanPredictions_20151118.txt,0.5
87,0.49880952381,0.0510240928375,1.0,"('googlenet', 'pool4_3x3_s2')",50,True,HumanPredictions_20151118.txt,0.5
88,0.54119047619,0.0609454051068,1.0,"('googlenet', 'inception_5a_output')",50,True,HumanPredictions_20151118.txt,0.5
89,0.513095238095,0.0597732867173,1.0,"('googlenet', 'inception_5b_output')",50,True,HumanPredictions_20151118.txt,0.5
90,0.531904761905,0.0698004931468,1.0,"('googlenet', 'pool5_7x7_s1')",50,True,HumanPredictions_20151118.txt,0.5
91,0.551666666667,0.0858335810049,1.0,"('googlenet', 'loss3_classifier')",50,True,HumanPredictions_20151118.txt,0.5
92,0.50380952381,0.0721566072076,1.0,"('googlenet', 'prob')",50,True,HumanPredictions_20151118.txt,0.5
93,0.554773325088,0.0987116145006,1.0,"('pb', '')",50,True,HumanPredictions_20151118.txt,0.8
94,0.505606742413,0.129956689996,1.0,"('alexnet', 'conv1')",50,True,HumanPredictions_20151118.txt,0.8
95,0.486478665958,0.0982167901719,1.0,"('alexnet', 'pool1')",50,True,HumanPredictions_20151118.txt,0.8
96,0.549846055839,0.106067893814,1.0,"('alexnet', 'norm1')",50,True,HumanPredictions_20151118.txt,0.8
97,0.544001782841,0.104503800084,1.0,"('alexnet', 'conv2')",50,True,HumanPredictions_20151118.txt,0.8
98,0.53942411888,0.0769307010685,1.0,"('alexnet', 'pool2')",50,True,HumanPredictions_20151118.txt,0.8
99,0.552134826294,0.102940758688,1.0,"('alexnet', 'norm2')",50,True,HumanPredictions_20151118.txt,0.8
100,0.541731954923,0.0830705571833,1.0,"('alexnet', 'conv3')",50,True,HumanPredictions_20151118.txt,0.8
101,0.466841657559,0.104963884069,1.0,"('alexnet', 'conv4')",50,True,HumanPredictions_20151118.txt,0.8
102,0.503784808798,0.123596887324,1.0,"('alexnet', 'conv5')",50,True,HumanPredictions_20151118.txt,0.8
103,0.509353066002,0.122950891045,1.0,"('alexnet', 'pool5')",50,True,HumanPredictions_20151118.txt,0.8
104,0.548906237882,0.103710301987,1.0,"('alexnet', 'fc6')",50,True,HumanPredictions_20151118.txt,0.8
105,0.540558288648,0.101709929592,1.0,"('alexnet', 'fc7')",50,True,HumanPredictions_20151118.txt,0.8
106,0.499592694106,0.104601375524,1.0,"('alexnet', 'fc8')",50,True,HumanPredictions_20151118.txt,0.8
107,0.610747849804,0.0859063569233,1.0,"('alexnet', 'prob')",50,True,HumanPredictions_20151118.txt,0.8
108,0.541632189188,0.108075688337,1.0,"('googlenet', 'pool1_norm1')",50,True,HumanPredictions_20151118.txt,0.8
109,0.481533099583,0.0860996589374,1.0,"('googlenet', 'conv2_norm2')",50,True,HumanPredictions_20151118.txt,0.8
110,0.472551199196,0.0986386946835,1.0,"('googlenet', 'inception_3a_output')",50,True,HumanPredictions_20151118.txt,0.8
