      Comparison1   Comparison2  Align_NoAlignment_Prediction  Align_AffineImage_Prediction  Align_AffineFeature_Prediction  Align_CenteredScaled_Prediction
154   o6_t2_ap_d1   o6_t2_mf_d1                             1                             1                               1                                1
155   o6_t2_ap_d1   o6_t2_mf_d2                             1                             0                               1                                0
156   o6_t2_ap_d1   o6_t2_rp_d1                             1                             0                               1                                1
157   o6_t2_ap_d1   o6_t2_rp_d2                             0                             1                               0                                0
158   o6_t2_ap_d2   o6_t2_mf_d1                             0                             0                               0                                0
159   o6_t2_ap_d2   o6_t2_mf_d2                             1                             0                               1                                0
160   o6_t2_ap_d2   o6_t2_rp_d1                             1                             0                               1                                0
161   o6_t2_ap_d2   o6_t2_rp_d2                             0                             0                               0                                0
162   o6_t2_mf_d1   o6_t2_mf_d2                             1                             0                               1                                0
163   o6_t2_mf_d1   o6_t2_rp_d1                             1                             0                               1                                0
164   o6_t2_mf_d1   o6_t2_rp_d2                             0                             0                               0                                0
165   o6_t2_mf_d2   o6_t2_rp_d1                             0                             0                               0                                1
166   o6_t2_mf_d2   o6_t2_rp_d2                             0                             1                               0                                0
167   o6_t2_rp_d1   o6_t2_rp_d2                             0                             1                               0                                0
168   o7_t1_cs_d1   o7_t1_cs_d2                             0                             0                               0                                0
169   o7_t1_cs_d1   o7_t2_ap_d1                             1                             1                               1                                0
170   o7_t1_cs_d1   o7_t2_ap_d2                             0                             1                               0                                0
171   o7_t1_cs_d1   o7_t2_mf_d1                             1                             0                               1                                1
172   o7_t1_cs_d1   o7_t2_mf_d2                             1                             0                               1                                0
173   o7_t1_cs_d1   o7_t2_rp_d1                             0                             0                               0                                1
174   o7_t1_cs_d1   o7_t2_rp_d2                             0                             0                               0                                1
175   o7_t1_cs_d2   o7_t2_ap_d1                             1                             1                               1                                1
176   o7_t1_cs_d2   o7_t2_ap_d2                             1                             1                               1                                1
177   o7_t1_cs_d2   o7_t2_mf_d1                             1                             1                               1                                1
178   o7_t1_cs_d2   o7_t2_mf_d2                             1                             1                               1                                0
179   o7_t1_cs_d2   o7_t2_rp_d1                             0                             0                               0                                1
180   o7_t1_cs_d2   o7_t2_rp_d2                             1                             0                               1                                1
181   o7_t2_ap_d1   o7_t2_ap_d2                             0                             1                               0                                0
182   o7_t2_ap_d1   o7_t2_mf_d1                             1                             0                               1                                1
183   o7_t2_ap_d1   o7_t2_mf_d2                             1                             0                               1                                0
184   o7_t2_ap_d1   o7_t2_rp_d1                             0                             0                               0                                1
185   o7_t2_ap_d1   o7_t2_rp_d2                             0                             0                               0                                1
186   o7_t2_ap_d2   o7_t2_mf_d1                             1                             0                               1                                1
187   o7_t2_ap_d2   o7_t2_mf_d2                             1                             0                               1                                0
188   o7_t2_ap_d2   o7_t2_rp_d1                             0                             0                               0                                1
189   o7_t2_ap_d2   o7_t2_rp_d2                             0                             0                               0                                1
190   o7_t2_mf_d1   o7_t2_mf_d2                             1                             1                               0                                0
191   o7_t2_mf_d1   o7_t2_rp_d1                             0                             0                               0                                0
192   o7_t2_mf_d1   o7_t2_rp_d2                             0                             0                               0                                0
193   o7_t2_mf_d2   o7_t2_rp_d1                             0                             0                               0                                1
194   o7_t2_mf_d2   o7_t2_rp_d2                             0                             0                               0                                1
195   o7_t2_rp_d1   o7_t2_rp_d2                             1                             1                               1                                1
196   o8_t1_cs_d1   o8_t1_cs_d2                             0                             0                               0                                0
197   o8_t1_cs_d1   o8_t2_ap_d1                             1                             1                               1                                1
198   o8_t1_cs_d1   o8_t2_ap_d2                             0                             0                               0                                0
199   o8_t1_cs_d1   o8_t2_mf_d1                             0                             0                               0                                1
200   o8_t1_cs_d1   o8_t2_mf_d2                             1                             0                               1                                0
201   o8_t1_cs_d1   o8_t2_rp_d1                             0                             0                               0                                0
202   o8_t1_cs_d1   o8_t2_rp_d2                             0                             0                               0                                0
203   o8_t1_cs_d2   o8_t2_ap_d1                             1                             1                               1                                1
204   o8_t1_cs_d2   o8_t2_ap_d2                             0                             1                               0                                0
205   o8_t1_cs_d2   o8_t2_mf_d1                             0                             0                               0                                1
206   o8_t1_cs_d2   o8_t2_mf_d2                             1                             1                               1                                1
207   o8_t1_cs_d2   o8_t2_rp_d1                             0                             0                               0                                1
208   o8_t1_cs_d2   o8_t2_rp_d2                             0                             0                               0                                0
209   o8_t2_ap_d1   o8_t2_ap_d2                             0                             0                               0                                0
210   o8_t2_ap_d1   o8_t2_mf_d1                             0                             0                               0                                0
211   o8_t2_ap_d1   o8_t2_mf_d2                             0                             0                               0                                0
212   o8_t2_ap_d1   o8_t2_rp_d1                             0                             0                               0                                0
213   o8_t2_ap_d1   o8_t2_rp_d2                             0                             0                               0                                0
214   o8_t2_ap_d2   o8_t2_mf_d1                             0                             0                               0                                1
215   o8_t2_ap_d2   o8_t2_mf_d2                             1                             1                               1                                1
216   o8_t2_ap_d2   o8_t2_rp_d1                             1                             0                               1                                1
217   o8_t2_ap_d2   o8_t2_rp_d2                             0                             0                               0                                0
218   o8_t2_mf_d1   o8_t2_mf_d2                             1                             1                               1                                0
219   o8_t2_mf_d1   o8_t2_rp_d1                             1                             1                               1                                0
220   o8_t2_mf_d1   o8_t2_rp_d2                             0                             1                               0                                0
221   o8_t2_mf_d2   o8_t2_rp_d1                             0                             0                               0                                0
222   o8_t2_mf_d2   o8_t2_rp_d2                             0                             0                               0                                0
223   o8_t2_rp_d1   o8_t2_rp_d2                             0                             0                               0                                0
224   o9_t1_cs_d1   o9_t1_cs_d2                             1                             1                               1                                1
225   o9_t1_cs_d1   o9_t2_ap_d1                             1                             1                               1                                1
226   o9_t1_cs_d1   o9_t2_ap_d2                             1                             1                               1                                0
227   o9_t1_cs_d1   o9_t2_mf_d1                             1                             1                               1                                1
228   o9_t1_cs_d1   o9_t2_mf_d2                             0                             1                               0                                0
229   o9_t1_cs_d1   o9_t2_rp_d1                             0                             1                               0                                1
230   o9_t1_cs_d1   o9_t2_rp_d2                             0                             1                               0                                1
231   o9_t1_cs_d2   o9_t2_ap_d1                             0                             1                               0                                1
232   o9_t1_cs_d2   o9_t2_ap_d2                             1                             1                               1                                0
233   o9_t1_cs_d2   o9_t2_mf_d1                             0                             1                               0                                1
234   o9_t1_cs_d2   o9_t2_mf_d2                             0                             1                               0                                0
235   o9_t1_cs_d2   o9_t2_rp_d1                             0                             0                               0                                0
236   o9_t1_cs_d2   o9_t2_rp_d2                             0                             1                               0                                0
237   o9_t2_ap_d1   o9_t2_ap_d2                             1                             0                               1                                0
238   o9_t2_ap_d1   o9_t2_mf_d1                             0                             0                               1                                1
239   o9_t2_ap_d1   o9_t2_mf_d2                             0                             0                               0                                0
240   o9_t2_ap_d1   o9_t2_rp_d1                             0                             0                               0                                0
241   o9_t2_ap_d1   o9_t2_rp_d2                             0                             0                               0                                0
242   o9_t2_ap_d2   o9_t2_mf_d1                             0                             1                               0                                1
243   o9_t2_ap_d2   o9_t2_mf_d2                             0                             1                               0                                0
244   o9_t2_ap_d2   o9_t2_rp_d1                             0                             0                               0                                1
245   o9_t2_ap_d2   o9_t2_rp_d2                             0                             0                               0                                1
246   o9_t2_mf_d1   o9_t2_mf_d2                             0                             1                               0                                0
247   o9_t2_mf_d1   o9_t2_rp_d1                             0                             0                               0                                0
248   o9_t2_mf_d1   o9_t2_rp_d2                             0                             0                               0                                0
249   o9_t2_mf_d2   o9_t2_rp_d1                             1                             0                               1                                1
250   o9_t2_mf_d2   o9_t2_rp_d2                             1                             0                               1                                1
251   o9_t2_rp_d1   o9_t2_rp_d2                             0                             1                               0                                0
252  o10_t1_cs_d1  o10_t1_cs_d2                             1                             0                               1                                0
253  o10_t1_cs_d1  o10_t2_ap_d1                             0                             1                               0                                1
254  o10_t1_cs_d1  o10_t2_ap_d2                             0                             1                               0                                1
255  o10_t1_cs_d1  o10_t2_mf_d1                             0                             0                               0                                0
256  o10_t1_cs_d1  o10_t2_mf_d2                             1                             0                               1                                0
257  o10_t1_cs_d1  o10_t2_rp_d1                             1                             1                               1                                0
258  o10_t1_cs_d1  o10_t2_rp_d2                             1                             0                               1                                0
259  o10_t1_cs_d2  o10_t2_ap_d1                             0                             1                               0                                1
260  o10_t1_cs_d2  o10_t2_ap_d2                             0                             1                               0                                1
261  o10_t1_cs_d2  o10_t2_mf_d1                             0                             0                               0                                0
262  o10_t1_cs_d2  o10_t2_mf_d2                             1                             0                               1                                1
263  o10_t1_cs_d2  o10_t2_rp_d1                             0                             1                               0                                0
264  o10_t1_cs_d2  o10_t2_rp_d2                             1                             0                               1                                1
265  o10_t2_ap_d1  o10_t2_ap_d2                             1                             1                               1                                1
266  o10_t2_ap_d1  o10_t2_mf_d1                             0                             0                               0                                0
267  o10_t2_ap_d1  o10_t2_mf_d2                             1                             0                               1                                0
268  o10_t2_ap_d1  o10_t2_rp_d1                             1                             0                               1                                0
269  o10_t2_ap_d1  o10_t2_rp_d2                             1                             0                               1                                0
270  o10_t2_ap_d2  o10_t2_mf_d1                             0                             0                               0                                0
271  o10_t2_ap_d2  o10_t2_mf_d2                             1                             0                               1                                0
272  o10_t2_ap_d2  o10_t2_rp_d1                             1                             0                               1                                0
273  o10_t2_ap_d2  o10_t2_rp_d2                             1                             0                               1                                0
274  o10_t2_mf_d1  o10_t2_mf_d2                             1                             0                               1                                1
275  o10_t2_mf_d1  o10_t2_rp_d1                             1                             1                               1                                1
276  o10_t2_mf_d1  o10_t2_rp_d2                             1                             0                               1                                1
277  o10_t2_mf_d2  o10_t2_rp_d1                             0                             1                               0                                0
278  o10_t2_mf_d2  o10_t2_rp_d2                             1                             0                               1                                0
279  o10_t2_rp_d1  o10_t2_rp_d2                             1                             0                               1                                1
