      Target    Comparison                          Layer     Distance
117       o1   o8_t1_cs_d1     GoogLeNet_loss3/classifier     0.663800
118       o1   o8_t1_cs_d1         GoogLeNet_pool3/3x3_s2   723.131470
119       o1   o8_t1_cs_d1  GoogLeNet_inception_4c/output   142.097717
120       o1   o8_t1_cs_d1  GoogLeNet_inception_3b/output   216.036591
121       o1   o8_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.314300
122       o1   o8_t1_cs_d1  GoogLeNet_inception_4a/output   229.401291
123       o1   o8_t1_cs_d1  GoogLeNet_inception_4b/output   186.365189
124       o1   o8_t1_cs_d1          GoogLeNet_pool1/norm1   766.146057
125       o1   o8_t1_cs_d1  GoogLeNet_inception_4d/output    53.862541
126       o1   o8_t1_cs_d1  GoogLeNet_inception_4e/output    14.059326
127       o1   o8_t1_cs_d1                 GoogLeNet_prob     0.000229
128       o1   o9_t1_cs_d1  GoogLeNet_inception_5b/output     2.238530
129       o1   o9_t1_cs_d1          GoogLeNet_conv2/norm2   264.044861
130       o1   o9_t1_cs_d1  GoogLeNet_inception_3a/output  1448.296265
131       o1   o9_t1_cs_d1         GoogLeNet_pool4/3x3_s2    27.552517
132       o1   o9_t1_cs_d1  GoogLeNet_inception_5a/output    12.478740
133       o1   o9_t1_cs_d1     GoogLeNet_loss3/classifier     0.789094
134       o1   o9_t1_cs_d1         GoogLeNet_pool3/3x3_s2   622.038147
135       o1   o9_t1_cs_d1  GoogLeNet_inception_4c/output   121.756065
136       o1   o9_t1_cs_d1  GoogLeNet_inception_3b/output   182.910965
137       o1   o9_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.449600
138       o1   o9_t1_cs_d1  GoogLeNet_inception_4a/output   192.684830
139       o1   o9_t1_cs_d1  GoogLeNet_inception_4b/output   146.402466
140       o1   o9_t1_cs_d1          GoogLeNet_pool1/norm1   636.746948
141       o1   o9_t1_cs_d1  GoogLeNet_inception_4d/output    47.730625
142       o1   o9_t1_cs_d1  GoogLeNet_inception_4e/output    12.336077
143       o1   o9_t1_cs_d1                 GoogLeNet_prob     0.000040
144       o1  o10_t1_cs_d1  GoogLeNet_inception_5b/output     4.437692
145       o1  o10_t1_cs_d1          GoogLeNet_conv2/norm2   384.644714
146       o1  o10_t1_cs_d1  GoogLeNet_inception_3a/output  2139.517334
147       o1  o10_t1_cs_d1         GoogLeNet_pool4/3x3_s2    52.506653
148       o1  o10_t1_cs_d1  GoogLeNet_inception_5a/output    25.970062
149       o1  o10_t1_cs_d1     GoogLeNet_loss3/classifier     1.750291
150       o1  o10_t1_cs_d1         GoogLeNet_pool3/3x3_s2   990.140381
151       o1  o10_t1_cs_d1  GoogLeNet_inception_4c/output   201.061310
152       o1  o10_t1_cs_d1  GoogLeNet_inception_3b/output   278.630707
153       o1  o10_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.806257
154       o1  o10_t1_cs_d1  GoogLeNet_inception_4a/output   304.058075
155       o1  o10_t1_cs_d1  GoogLeNet_inception_4b/output   254.014572
156       o1  o10_t1_cs_d1          GoogLeNet_pool1/norm1  1115.781494
157       o1  o10_t1_cs_d1  GoogLeNet_inception_4d/output    77.657074
158       o1  o10_t1_cs_d1  GoogLeNet_inception_4e/output    20.337660
159       o1  o10_t1_cs_d1                 GoogLeNet_prob     0.000109
160       o1   o1_t1_cs_d2  GoogLeNet_inception_5b/output     0.744455
161       o1   o1_t1_cs_d2          GoogLeNet_conv2/norm2   235.842209
162       o1   o1_t1_cs_d2  GoogLeNet_inception_3a/output   963.759827
163       o1   o1_t1_cs_d2         GoogLeNet_pool4/3x3_s2     9.820988
164       o1   o1_t1_cs_d2  GoogLeNet_inception_5a/output     4.556251
165       o1   o1_t1_cs_d2     GoogLeNet_loss3/classifier     0.253230
166       o1   o1_t1_cs_d2         GoogLeNet_pool3/3x3_s2   385.341187
167       o1   o1_t1_cs_d2  GoogLeNet_inception_4c/output    58.058613
168       o1   o1_t1_cs_d2  GoogLeNet_inception_3b/output   143.486984
169       o1   o1_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.155563
170       o1   o1_t1_cs_d2  GoogLeNet_inception_4a/output   122.357590
171       o1   o1_t1_cs_d2  GoogLeNet_inception_4b/output    76.173592
172       o1   o1_t1_cs_d2          GoogLeNet_pool1/norm1   360.260315
173       o1   o1_t1_cs_d2  GoogLeNet_inception_4d/output    19.507051
174       o1   o1_t1_cs_d2  GoogLeNet_inception_4e/output     4.517663
175       o1   o1_t1_cs_d2                 GoogLeNet_prob     0.000011
176       o1   o2_t1_cs_d2  GoogLeNet_inception_5b/output     1.801478
177       o1   o2_t1_cs_d2          GoogLeNet_conv2/norm2   299.839050
178       o1   o2_t1_cs_d2  GoogLeNet_inception_3a/output  1513.813965
179       o1   o2_t1_cs_d2         GoogLeNet_pool4/3x3_s2    25.606291
180       o1   o2_t1_cs_d2  GoogLeNet_inception_5a/output    11.328688
181       o1   o2_t1_cs_d2     GoogLeNet_loss3/classifier     0.632551
182       o1   o2_t1_cs_d2         GoogLeNet_pool3/3x3_s2   659.607849
183       o1   o2_t1_cs_d2  GoogLeNet_inception_4c/output   125.013405
184       o1   o2_t1_cs_d2  GoogLeNet_inception_3b/output   203.091736
185       o1   o2_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.339341
186       o1   o2_t1_cs_d2  GoogLeNet_inception_4a/output   216.630585
187       o1   o2_t1_cs_d2  GoogLeNet_inception_4b/output   159.283386
188       o1   o2_t1_cs_d2          GoogLeNet_pool1/norm1   669.848511
189       o1   o2_t1_cs_d2  GoogLeNet_inception_4d/output    47.179619
190       o1   o2_t1_cs_d2  GoogLeNet_inception_4e/output    11.331436
191       o1   o2_t1_cs_d2                 GoogLeNet_prob     0.000027
