    Target   Comparison1   Comparison2  AlexNet_conv1  AlexNet_conv2  AlexNet_conv3  AlexNet_conv4  AlexNet_conv5  AlexNet_fc6  AlexNet_fc7  AlexNet_fc8  AlexNet_norm1  AlexNet_norm2  AlexNet_pool1  AlexNet_pool2  AlexNet_pool5  AlexNet_prob
192     o6   o6_t2_mf_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
193     o6   o6_t2_mf_d2   o6_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              1             1
194     o6   o6_t2_mf_d2   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
195     o6   o6_t2_rp_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
196     o7   o7_t1_cs_d1   o7_t1_cs_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
197     o7   o7_t1_cs_d1   o7_t2_ap_d1              0              0              1              0              1            1            1            1              0              0              0              0              1             0
198     o7   o7_t1_cs_d1   o7_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
199     o7   o7_t1_cs_d1   o7_t2_mf_d1              0              0              1              0              0            1            1            1              0              0              0              1              1             0
200     o7   o7_t1_cs_d1   o7_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              1              0             0
201     o7   o7_t1_cs_d1   o7_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
202     o7   o7_t1_cs_d1   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
203     o7   o7_t1_cs_d2   o7_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
204     o7   o7_t1_cs_d2   o7_t2_ap_d2              1              1              1              1              1            0            0            0              1              1              1              1              0             1
205     o7   o7_t1_cs_d2   o7_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
206     o7   o7_t1_cs_d2   o7_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             1
207     o7   o7_t1_cs_d2   o7_t2_rp_d1              0              0              0              0              1            1            1            1              0              0              0              1              1             1
208     o7   o7_t1_cs_d2   o7_t2_rp_d2              0              1              1              1              1            0            0            0              1              1              1              1              1             1
209     o7   o7_t2_ap_d1   o7_t2_ap_d2              1              0              0              0              0            0            0            0              0              0              0              0              0             1
210     o7   o7_t2_ap_d1   o7_t2_mf_d1              0              0              0              0              0            0            1            0              0              1              0              1              1             0
211     o7   o7_t2_ap_d1   o7_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              1              1              0             1
212     o7   o7_t2_ap_d1   o7_t2_rp_d1              0              0              0              0              0            0            1            0              0              0              0              0              0             1
213     o7   o7_t2_ap_d1   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
214     o7   o7_t2_ap_d2   o7_t2_mf_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             0
215     o7   o7_t2_ap_d2   o7_t2_mf_d2              0              1              1              1              1            1            1            1              1              1              1              1              1             1
216     o7   o7_t2_ap_d2   o7_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              1             1
217     o7   o7_t2_ap_d2   o7_t2_rp_d2              0              0              1              1              1            1            1            1              0              1              1              1              1             0
218     o7   o7_t2_mf_d1   o7_t2_mf_d2              0              1              0              1              1            0            0            0              1              0              1              0              0             1
219     o7   o7_t2_mf_d1   o7_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
220     o7   o7_t2_mf_d1   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              1              0              0             1
221     o7   o7_t2_mf_d2   o7_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
222     o7   o7_t2_mf_d2   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
223     o7   o7_t2_rp_d1   o7_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              0             0
224     o8   o8_t1_cs_d1   o8_t1_cs_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
225     o8   o8_t1_cs_d1   o8_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
226     o8   o8_t1_cs_d1   o8_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
227     o8   o8_t1_cs_d1   o8_t2_mf_d1              0              0              0              0              0            0            0            1              0              0              0              0              0             0
228     o8   o8_t1_cs_d1   o8_t2_mf_d2              1              0              0              0              0            0            0            0              0              0              1              0              0             0
229     o8   o8_t1_cs_d1   o8_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             0
230     o8   o8_t1_cs_d1   o8_t2_rp_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
231     o8   o8_t1_cs_d2   o8_t2_ap_d1              1              1              1              1              1            0            0            0              1              1              1              1              1             0
232     o8   o8_t1_cs_d2   o8_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
233     o8   o8_t1_cs_d2   o8_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
234     o8   o8_t1_cs_d2   o8_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
235     o8   o8_t1_cs_d2   o8_t2_rp_d1              0              0              0              0              0            1            1            0              0              0              0              0              0             1
236     o8   o8_t1_cs_d2   o8_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
