     Target    Comparison          Layer      Distance  DistanceInverted
114      o2   o2_t1_cs_d1    AlexNet_fc8      2.703445          2.101245
115      o2   o2_t1_cs_d1  AlexNet_conv4    129.859085        102.086197
116      o2   o2_t1_cs_d1   AlexNet_prob      0.000272          0.000367
117      o2   o2_t1_cs_d1  AlexNet_conv3    429.403046        333.088013
118      o2   o2_t1_cs_d1  AlexNet_conv2    507.239441        453.891724
119      o2   o2_t1_cs_d1  AlexNet_conv1   8491.029297       7673.693359
120      o2   o2_t1_cs_d1  AlexNet_conv5     26.082380         20.648088
121      o2   o2_t1_cs_d1  AlexNet_norm2    733.438354        576.229797
122      o2   o2_t1_cs_d1  AlexNet_pool2   1498.997681       1207.833374
123      o2   o2_t1_cs_d1  AlexNet_pool1  26640.558594      22692.281250
124      o2   o2_t1_cs_d1  AlexNet_norm1    752.320374        612.302307
125      o2   o2_t1_cs_d1  AlexNet_pool5     84.503342         68.233994
126      o2   o2_t1_cs_d2    AlexNet_fc6      8.953270         10.060411
127      o2   o2_t1_cs_d2    AlexNet_fc7      0.581119          0.828436
128      o2   o2_t1_cs_d2    AlexNet_fc8      0.989793          2.641668
129      o2   o2_t1_cs_d2  AlexNet_conv4    136.734833        114.686943
130      o2   o2_t1_cs_d2   AlexNet_prob      0.000185          0.000237
131      o2   o2_t1_cs_d2  AlexNet_conv3    416.117371        370.982697
132      o2   o2_t1_cs_d2  AlexNet_conv2    485.493866        456.245789
133      o2   o2_t1_cs_d2  AlexNet_conv1   8427.349609       7677.774902
134      o2   o2_t1_cs_d2  AlexNet_conv5     25.522148         21.205204
135      o2   o2_t1_cs_d2  AlexNet_norm2    680.377869        611.422302
136      o2   o2_t1_cs_d2  AlexNet_pool2   1366.539185       1203.736816
137      o2   o2_t1_cs_d2  AlexNet_pool1  26761.652344      23615.720703
138      o2   o2_t1_cs_d2  AlexNet_norm1    697.017029        660.090210
139      o2   o2_t1_cs_d2  AlexNet_pool5     82.779350         66.953606
140      o2   o2_t2_ap_d1    AlexNet_fc6      6.062948          7.201145
141      o2   o2_t2_ap_d1    AlexNet_fc7      0.384877          0.536567
142      o2   o2_t2_ap_d1    AlexNet_fc8      0.652564          1.084599
143      o2   o2_t2_ap_d1  AlexNet_conv4    102.694588         99.443924
144      o2   o2_t2_ap_d1   AlexNet_prob      0.000214          0.000243
145      o2   o2_t2_ap_d1  AlexNet_conv3    321.893311        313.284485
146      o2   o2_t2_ap_d1  AlexNet_conv2    450.383087        436.448700
147      o2   o2_t2_ap_d1  AlexNet_conv1   8058.195801       7260.066406
148      o2   o2_t2_ap_d1  AlexNet_conv5     20.692638         19.853621
149      o2   o2_t2_ap_d1  AlexNet_norm2    523.894531        538.560120
150      o2   o2_t2_ap_d1  AlexNet_pool2   1060.334473       1075.718140
151      o2   o2_t2_ap_d1  AlexNet_pool1  24423.582031      21771.900391
152      o2   o2_t2_ap_d1  AlexNet_norm1    632.126831        618.256897
153      o2   o2_t2_ap_d1  AlexNet_pool5     56.903748         60.120552
154      o2   o2_t2_ap_d2    AlexNet_fc6      8.989987         11.221333
155      o2   o2_t2_ap_d2    AlexNet_fc7      0.658465          0.885758
156      o2   o2_t2_ap_d2    AlexNet_fc8      1.377476          1.998292
157      o2   o2_t2_ap_d2  AlexNet_conv4    157.780121        138.730576
158      o2   o2_t2_ap_d2   AlexNet_prob      0.000259          0.000504
159      o2   o2_t2_ap_d2  AlexNet_conv3    502.045258        459.406128
160      o2   o2_t2_ap_d2  AlexNet_conv2    583.281311        537.601013
161      o2   o2_t2_ap_d2  AlexNet_conv1   8801.807617       7808.091797
162      o2   o2_t2_ap_d2  AlexNet_conv5     30.550865         25.302515
163      o2   o2_t2_ap_d2  AlexNet_norm2    849.198853        785.307983
164      o2   o2_t2_ap_d2  AlexNet_pool2   1760.473511       1625.803833
165      o2   o2_t2_ap_d2  AlexNet_pool1  29708.910156      24848.933594
166      o2   o2_t2_ap_d2  AlexNet_norm1    830.024353        782.677673
167      o2   o2_t2_ap_d2  AlexNet_pool5     87.395233         87.793091
168      o2   o2_t2_mf_d1    AlexNet_fc6      8.816048          9.166748
169      o2   o2_t2_mf_d1    AlexNet_fc7      0.615479          0.775570
170      o2   o2_t2_mf_d1    AlexNet_fc8      1.093209          2.068244
171      o2   o2_t2_mf_d1  AlexNet_conv4    137.784744        114.463326
172      o2   o2_t2_mf_d1   AlexNet_prob      0.000243          0.000333
173      o2   o2_t2_mf_d1  AlexNet_conv3    426.341400        366.608063
174      o2   o2_t2_mf_d1  AlexNet_conv2    503.676727        460.766174
175      o2   o2_t2_mf_d1  AlexNet_conv1   7951.049805       7481.804688
176      o2   o2_t2_mf_d1  AlexNet_conv5     26.627689         21.540340
177      o2   o2_t2_mf_d1  AlexNet_norm2    715.199768        592.177734
178      o2   o2_t2_mf_d1  AlexNet_pool2   1436.962769       1188.374023
179      o2   o2_t2_mf_d1  AlexNet_pool1  25527.533203      23259.753906
180      o2   o2_t2_mf_d1  AlexNet_norm1    729.471436        649.572876
181      o2   o2_t2_mf_d1  AlexNet_pool5     82.021172         63.173592
182      o2   o2_t2_mf_d2    AlexNet_fc6      9.596726         10.431995
183      o2   o2_t2_mf_d2    AlexNet_fc7      0.716402          0.948831
184      o2   o2_t2_mf_d2    AlexNet_fc8      1.769237          3.317682
185      o2   o2_t2_mf_d2  AlexNet_conv4    127.344643        112.192017
186      o2   o2_t2_mf_d2   AlexNet_prob      0.000185          0.000262
187      o2   o2_t2_mf_d2  AlexNet_conv3    391.450012        359.467590
188      o2   o2_t2_mf_d2  AlexNet_conv2    457.875610        447.560516
189      o2   o2_t2_mf_d2  AlexNet_conv1   8164.660645       7496.495605
190      o2   o2_t2_mf_d2  AlexNet_conv5     24.110628         21.206039
191      o2   o2_t2_mf_d2  AlexNet_norm2    629.846741        599.986572
192      o2   o2_t2_mf_d2  AlexNet_pool2   1272.289917       1178.610718
193      o2   o2_t2_mf_d2  AlexNet_pool1  25484.609375      23344.730469
194      o2   o2_t2_mf_d2  AlexNet_norm1    654.239197        649.667053
195      o2   o2_t2_mf_d2  AlexNet_pool5     78.962715         69.350922
196      o2   o2_t2_rp_d1    AlexNet_fc6     13.997858         11.971618
197      o2   o2_t2_rp_d1    AlexNet_fc7      1.179709          0.931131
198      o2   o2_t2_rp_d1    AlexNet_fc8      3.665467          2.024768
199      o2   o2_t2_rp_d1  AlexNet_conv4    115.238647         97.503052
200      o2   o2_t2_rp_d1   AlexNet_prob      0.000349          0.000190
201      o2   o2_t2_rp_d1  AlexNet_conv3    377.272400        316.122406
202      o2   o2_t2_rp_d1  AlexNet_conv2    447.485504        401.339111
203      o2   o2_t2_rp_d1  AlexNet_conv1   7346.573730       6807.102539
204      o2   o2_t2_rp_d1  AlexNet_conv5     22.576792         19.028624
205      o2   o2_t2_rp_d1  AlexNet_norm2    651.340210        561.352539
206      o2   o2_t2_rp_d1  AlexNet_pool2   1343.393921       1170.516479
207      o2   o2_t2_rp_d1  AlexNet_pool1  24055.158203      20164.263672
208      o2   o2_t2_rp_d1  AlexNet_norm1    641.597229        562.983765
209      o2   o2_t2_rp_d1  AlexNet_pool5     80.064972         69.644814
210      o2   o2_t2_rp_d2    AlexNet_fc6      6.394248          9.949554
