     Target    Comparison                          Layer     Distance
124      o1   o1_t2_rp_d2          GoogLeNet_pool1/norm1   615.266846
125      o1   o1_t2_rp_d2  GoogLeNet_inception_4d/output    46.610687
126      o1   o1_t2_rp_d2  GoogLeNet_inception_4e/output    12.573206
127      o1   o1_t2_rp_d2                 GoogLeNet_prob     0.000027
128      o2   o2_t1_cs_d1  GoogLeNet_inception_5b/output     2.503589
129      o2   o2_t1_cs_d1          GoogLeNet_conv2/norm2   284.352051
130      o2   o2_t1_cs_d1  GoogLeNet_inception_3a/output  1619.376953
131      o2   o2_t1_cs_d1         GoogLeNet_pool4/3x3_s2    29.350746
132      o2   o2_t1_cs_d1  GoogLeNet_inception_5a/output    13.584784
133      o2   o2_t1_cs_d1     GoogLeNet_loss3/classifier     1.014998
134      o2   o2_t1_cs_d1         GoogLeNet_pool3/3x3_s2   715.493713
135      o2   o2_t1_cs_d1  GoogLeNet_inception_4c/output   143.266541
136      o2   o2_t1_cs_d1  GoogLeNet_inception_3b/output   200.096115
137      o2   o2_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.578647
138      o2   o2_t1_cs_d1  GoogLeNet_inception_4a/output   212.237518
139      o2   o2_t1_cs_d1  GoogLeNet_inception_4b/output   175.265106
140      o2   o2_t1_cs_d1          GoogLeNet_pool1/norm1   684.751831
141      o2   o2_t1_cs_d1  GoogLeNet_inception_4d/output    49.581581
142      o2   o2_t1_cs_d1  GoogLeNet_inception_4e/output    12.802124
143      o2   o2_t1_cs_d1                 GoogLeNet_prob     0.000220
144      o2   o2_t1_cs_d2  GoogLeNet_inception_5b/output     1.839368
145      o2   o2_t1_cs_d2          GoogLeNet_conv2/norm2   292.382996
146      o2   o2_t1_cs_d2  GoogLeNet_inception_3a/output  1559.536011
147      o2   o2_t1_cs_d2         GoogLeNet_pool4/3x3_s2    25.475739
148      o2   o2_t1_cs_d2  GoogLeNet_inception_5a/output    11.910529
149      o2   o2_t1_cs_d2     GoogLeNet_loss3/classifier     0.684322
150      o2   o2_t1_cs_d2         GoogLeNet_pool3/3x3_s2   673.282043
151      o2   o2_t1_cs_d2  GoogLeNet_inception_4c/output   151.496338
152      o2   o2_t1_cs_d2  GoogLeNet_inception_3b/output   199.386780
153      o2   o2_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.356495
154      o2   o2_t1_cs_d2  GoogLeNet_inception_4a/output   227.260544
155      o2   o2_t1_cs_d2  GoogLeNet_inception_4b/output   191.364273
156      o2   o2_t1_cs_d2          GoogLeNet_pool1/norm1   650.608276
157      o2   o2_t1_cs_d2  GoogLeNet_inception_4d/output    49.458733
158      o2   o2_t1_cs_d2  GoogLeNet_inception_4e/output    11.929705
159      o2   o2_t1_cs_d2                 GoogLeNet_prob     0.000050
160      o2   o2_t2_ap_d1  GoogLeNet_inception_5b/output     1.839274
161      o2   o2_t2_ap_d1          GoogLeNet_conv2/norm2   279.488953
162      o2   o2_t2_ap_d1  GoogLeNet_inception_3a/output  1377.274536
163      o2   o2_t2_ap_d1         GoogLeNet_pool4/3x3_s2    21.680185
164      o2   o2_t2_ap_d1  GoogLeNet_inception_5a/output    10.582057
165      o2   o2_t2_ap_d1     GoogLeNet_loss3/classifier     0.660235
166      o2   o2_t2_ap_d1         GoogLeNet_pool3/3x3_s2   542.263794
167      o2   o2_t2_ap_d1  GoogLeNet_inception_4c/output   115.575447
168      o2   o2_t2_ap_d1  GoogLeNet_inception_3b/output   185.337112
169      o2   o2_t2_ap_d1         GoogLeNet_pool5/7x7_s1     0.353520
170      o2   o2_t2_ap_d1  GoogLeNet_inception_4a/output   187.685669
171      o2   o2_t2_ap_d1  GoogLeNet_inception_4b/output   145.689117
172      o2   o2_t2_ap_d1          GoogLeNet_pool1/norm1   583.052124
173      o2   o2_t2_ap_d1  GoogLeNet_inception_4d/output    39.981197
174      o2   o2_t2_ap_d1  GoogLeNet_inception_4e/output     9.921482
175      o2   o2_t2_ap_d1                 GoogLeNet_prob     0.000066
176      o2   o2_t2_ap_d2  GoogLeNet_inception_5b/output     1.792632
177      o2   o2_t2_ap_d2          GoogLeNet_conv2/norm2   317.433502
178      o2   o2_t2_ap_d2  GoogLeNet_inception_3a/output  1741.689087
179      o2   o2_t2_ap_d2         GoogLeNet_pool4/3x3_s2    29.896074
180      o2   o2_t2_ap_d2  GoogLeNet_inception_5a/output    12.512910
181      o2   o2_t2_ap_d2     GoogLeNet_loss3/classifier     0.611227
182      o2   o2_t2_ap_d2         GoogLeNet_pool3/3x3_s2   785.248291
183      o2   o2_t2_ap_d2  GoogLeNet_inception_4c/output   176.316940
184      o2   o2_t2_ap_d2  GoogLeNet_inception_3b/output   218.895447
185      o2   o2_t2_ap_d2         GoogLeNet_pool5/7x7_s1     0.330582
186      o2   o2_t2_ap_d2  GoogLeNet_inception_4a/output   250.166855
187      o2   o2_t2_ap_d2  GoogLeNet_inception_4b/output   220.579041
188      o2   o2_t2_ap_d2          GoogLeNet_pool1/norm1   774.953613
189      o2   o2_t2_ap_d2  GoogLeNet_inception_4d/output    58.105999
190      o2   o2_t2_ap_d2  GoogLeNet_inception_4e/output    14.601670
191      o2   o2_t2_ap_d2                 GoogLeNet_prob     0.000032
192      o2   o2_t2_mf_d1  GoogLeNet_inception_5b/output     2.291193
193      o2   o2_t2_mf_d1          GoogLeNet_conv2/norm2   295.008179
194      o2   o2_t2_mf_d1  GoogLeNet_inception_3a/output  1562.057129
195      o2   o2_t2_mf_d1         GoogLeNet_pool4/3x3_s2    27.749834
196      o2   o2_t2_mf_d1  GoogLeNet_inception_5a/output    13.111075
197      o2   o2_t2_mf_d1     GoogLeNet_loss3/classifier     0.975900
198      o2   o2_t2_mf_d1         GoogLeNet_pool3/3x3_s2   663.208984
199      o2   o2_t2_mf_d1  GoogLeNet_inception_4c/output   151.180557
200      o2   o2_t2_mf_d1  GoogLeNet_inception_3b/output   196.997772
201      o2   o2_t2_mf_d1         GoogLeNet_pool5/7x7_s1     0.525140
202      o2   o2_t2_mf_d1  GoogLeNet_inception_4a/output   219.261383
203      o2   o2_t2_mf_d1  GoogLeNet_inception_4b/output   182.749557
204      o2   o2_t2_mf_d1          GoogLeNet_pool1/norm1   683.044556
205      o2   o2_t2_mf_d1  GoogLeNet_inception_4d/output    51.658882
206      o2   o2_t2_mf_d1  GoogLeNet_inception_4e/output    12.988586
207      o2   o2_t2_mf_d1                 GoogLeNet_prob     0.000041
208      o2   o2_t2_mf_d2  GoogLeNet_inception_5b/output     2.034618
209      o2   o2_t2_mf_d2          GoogLeNet_conv2/norm2   282.707764
210      o2   o2_t2_mf_d2  GoogLeNet_inception_3a/output  1496.512939
211      o2   o2_t2_mf_d2         GoogLeNet_pool4/3x3_s2    25.183208
212      o2   o2_t2_mf_d2  GoogLeNet_inception_5a/output    12.914499
213      o2   o2_t2_mf_d2     GoogLeNet_loss3/classifier     0.887892
214      o2   o2_t2_mf_d2         GoogLeNet_pool3/3x3_s2   641.310913
215      o2   o2_t2_mf_d2  GoogLeNet_inception_4c/output   137.469925
216      o2   o2_t2_mf_d2  GoogLeNet_inception_3b/output   191.311310
217      o2   o2_t2_mf_d2         GoogLeNet_pool5/7x7_s1     0.421257
218      o2   o2_t2_mf_d2  GoogLeNet_inception_4a/output   211.323837
219      o2   o2_t2_mf_d2  GoogLeNet_inception_4b/output   173.326111
220      o2   o2_t2_mf_d2          GoogLeNet_pool1/norm1   607.792480
221      o2   o2_t2_mf_d2  GoogLeNet_inception_4d/output    46.350849
222      o2   o2_t2_mf_d2  GoogLeNet_inception_4e/output    11.508369
223      o2   o2_t2_mf_d2                 GoogLeNet_prob     0.000065
224      o2   o2_t2_rp_d1  GoogLeNet_inception_5b/output     2.495130
225      o2   o2_t2_rp_d1          GoogLeNet_conv2/norm2   240.132248
226      o2   o2_t2_rp_d1  GoogLeNet_inception_3a/output  1397.374634
227      o2   o2_t2_rp_d1         GoogLeNet_pool4/3x3_s2    25.143415
228      o2   o2_t2_rp_d1  GoogLeNet_inception_5a/output    12.321181
229      o2   o2_t2_rp_d1     GoogLeNet_loss3/classifier     1.089968
230      o2   o2_t2_rp_d1         GoogLeNet_pool3/3x3_s2   635.327698
231      o2   o2_t2_rp_d1  GoogLeNet_inception_4c/output   131.786499
232      o2   o2_t2_rp_d1  GoogLeNet_inception_3b/output   176.209518
233      o2   o2_t2_rp_d1         GoogLeNet_pool5/7x7_s1     0.588051
234      o2   o2_t2_rp_d1  GoogLeNet_inception_4a/output   197.087448
235      o2   o2_t2_rp_d1  GoogLeNet_inception_4b/output   165.832214
236      o2   o2_t2_rp_d1          GoogLeNet_pool1/norm1   583.402039
237      o2   o2_t2_rp_d1  GoogLeNet_inception_4d/output    43.481895
238      o2   o2_t2_rp_d1  GoogLeNet_inception_4e/output    11.327859
239      o2   o2_t2_rp_d1                 GoogLeNet_prob     0.000054
240      o2   o2_t2_rp_d2  GoogLeNet_inception_5b/output     1.803933
241      o2   o2_t2_rp_d2          GoogLeNet_conv2/norm2   239.555466
242      o2   o2_t2_rp_d2  GoogLeNet_inception_3a/output  1242.615234
243      o2   o2_t2_rp_d2         GoogLeNet_pool4/3x3_s2    22.219700
244      o2   o2_t2_rp_d2  GoogLeNet_inception_5a/output    10.108461
245      o2   o2_t2_rp_d2     GoogLeNet_loss3/classifier     0.860072
246      o2   o2_t2_rp_d2         GoogLeNet_pool3/3x3_s2   542.435608
247      o2   o2_t2_rp_d2  GoogLeNet_inception_4c/output   108.934135
248      o2   o2_t2_rp_d2  GoogLeNet_inception_3b/output   167.043488
249      o2   o2_t2_rp_d2         GoogLeNet_pool5/7x7_s1     0.335077
250      o2   o2_t2_rp_d2  GoogLeNet_inception_4a/output   172.601761
251      o2   o2_t2_rp_d2  GoogLeNet_inception_4b/output   135.303757
252      o2   o2_t2_rp_d2          GoogLeNet_pool1/norm1   475.898865
253      o2   o2_t2_rp_d2  GoogLeNet_inception_4d/output    39.352909
254      o2   o2_t2_rp_d2  GoogLeNet_inception_4e/output    10.420897
255      o2   o2_t2_rp_d2                 GoogLeNet_prob     0.000201
256      o3   o3_t1_cs_d1  GoogLeNet_inception_5b/output     2.401862
257      o3   o3_t1_cs_d1          GoogLeNet_conv2/norm2   148.049454
258      o3   o3_t1_cs_d1  GoogLeNet_inception_3a/output   840.074829
259      o3   o3_t1_cs_d1         GoogLeNet_pool4/3x3_s2    19.068335
260      o3   o3_t1_cs_d1  GoogLeNet_inception_5a/output     9.866893
261      o3   o3_t1_cs_d1     GoogLeNet_loss3/classifier     1.112482
262      o3   o3_t1_cs_d1         GoogLeNet_pool3/3x3_s2   374.493317
263      o3   o3_t1_cs_d1  GoogLeNet_inception_4c/output    74.885399
264      o3   o3_t1_cs_d1  GoogLeNet_inception_3b/output   114.179344
265      o3   o3_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.608141
266      o3   o3_t1_cs_d1  GoogLeNet_inception_4a/output   119.997437
267      o3   o3_t1_cs_d1  GoogLeNet_inception_4b/output    90.500450
268      o3   o3_t1_cs_d1          GoogLeNet_pool1/norm1   294.700226
269      o3   o3_t1_cs_d1  GoogLeNet_inception_4d/output    25.702374
270      o3   o3_t1_cs_d1  GoogLeNet_inception_4e/output     7.239281
271      o3   o3_t1_cs_d1                 GoogLeNet_prob     0.000119
272      o3   o3_t1_cs_d2  GoogLeNet_inception_5b/output     2.827249
273      o3   o3_t1_cs_d2          GoogLeNet_conv2/norm2   136.204056
274      o3   o3_t1_cs_d2  GoogLeNet_inception_3a/output   784.002380
275      o3   o3_t1_cs_d2         GoogLeNet_pool4/3x3_s2    21.379602
276      o3   o3_t1_cs_d2  GoogLeNet_inception_5a/output    10.982122
277      o3   o3_t1_cs_d2     GoogLeNet_loss3/classifier     1.643381
278      o3   o3_t1_cs_d2         GoogLeNet_pool3/3x3_s2   362.910889
279      o3   o3_t1_cs_d2  GoogLeNet_inception_4c/output    83.454910
280      o3   o3_t1_cs_d2  GoogLeNet_inception_3b/output   111.882332
281      o3   o3_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.759364
282      o3   o3_t1_cs_d2  GoogLeNet_inception_4a/output   129.504211
283      o3   o3_t1_cs_d2  GoogLeNet_inception_4b/output    95.027336
284      o3   o3_t1_cs_d2          GoogLeNet_pool1/norm1   264.387085
285      o3   o3_t1_cs_d2  GoogLeNet_inception_4d/output    30.601315
286      o3   o3_t1_cs_d2  GoogLeNet_inception_4e/output     7.625700
287      o3   o3_t1_cs_d2                 GoogLeNet_prob     0.000227
288      o3   o3_t2_ap_d1  GoogLeNet_inception_5b/output     2.784354
289      o3   o3_t2_ap_d1          GoogLeNet_conv2/norm2   149.159897
290      o3   o3_t2_ap_d1  GoogLeNet_inception_3a/output   827.918762
291      o3   o3_t2_ap_d1         GoogLeNet_pool4/3x3_s2    21.059887
292      o3   o3_t2_ap_d1  GoogLeNet_inception_5a/output    10.831403
293      o3   o3_t2_ap_d1     GoogLeNet_loss3/classifier     1.830514
294      o3   o3_t2_ap_d1         GoogLeNet_pool3/3x3_s2   406.199371
295      o3   o3_t2_ap_d1  GoogLeNet_inception_4c/output    83.665581
296      o3   o3_t2_ap_d1  GoogLeNet_inception_3b/output   115.256706
297      o3   o3_t2_ap_d1         GoogLeNet_pool5/7x7_s1     0.809344
298      o3   o3_t2_ap_d1  GoogLeNet_inception_4a/output   132.213715
299      o3   o3_t2_ap_d1  GoogLeNet_inception_4b/output   101.037102
300      o3   o3_t2_ap_d1          GoogLeNet_pool1/norm1   274.021332
301      o3   o3_t2_ap_d1  GoogLeNet_inception_4d/output    29.072651
302      o3   o3_t2_ap_d1  GoogLeNet_inception_4e/output     7.833488
303      o3   o3_t2_ap_d1                 GoogLeNet_prob     0.000154
304      o3   o3_t2_ap_d2  GoogLeNet_inception_5b/output     1.416518
305      o3   o3_t2_ap_d2          GoogLeNet_conv2/norm2   111.262901
306      o3   o3_t2_ap_d2  GoogLeNet_inception_3a/output   588.513794
307      o3   o3_t2_ap_d2         GoogLeNet_pool4/3x3_s2    10.241698
308      o3   o3_t2_ap_d2  GoogLeNet_inception_5a/output     5.410989
309      o3   o3_t2_ap_d2     GoogLeNet_loss3/classifier     0.854334
310      o3   o3_t2_ap_d2         GoogLeNet_pool3/3x3_s2   281.395203
311      o3   o3_t2_ap_d2  GoogLeNet_inception_4c/output    49.658112
312      o3   o3_t2_ap_d2  GoogLeNet_inception_3b/output    93.666954
313      o3   o3_t2_ap_d2         GoogLeNet_pool5/7x7_s1     0.372343
314      o3   o3_t2_ap_d2  GoogLeNet_inception_4a/output    93.831116
315      o3   o3_t2_ap_d2  GoogLeNet_inception_4b/output    67.827888
316      o3   o3_t2_ap_d2          GoogLeNet_pool1/norm1   190.617294
317      o3   o3_t2_ap_d2  GoogLeNet_inception_4d/output    16.545387
318      o3   o3_t2_ap_d2  GoogLeNet_inception_4e/output     4.128893
319      o3   o3_t2_ap_d2                 GoogLeNet_prob     0.000068
320      o3   o3_t2_mf_d1  GoogLeNet_inception_5b/output     2.021555
321      o3   o3_t2_mf_d1          GoogLeNet_conv2/norm2   130.340851
322      o3   o3_t2_mf_d1  GoogLeNet_inception_3a/output   688.406738
323      o3   o3_t2_mf_d1         GoogLeNet_pool4/3x3_s2    15.906553
324      o3   o3_t2_mf_d1  GoogLeNet_inception_5a/output     8.432477
325      o3   o3_t2_mf_d1     GoogLeNet_loss3/classifier     0.967115
326      o3   o3_t2_mf_d1         GoogLeNet_pool3/3x3_s2   300.654877
327      o3   o3_t2_mf_d1  GoogLeNet_inception_4c/output    62.603123
328      o3   o3_t2_mf_d1  GoogLeNet_inception_3b/output   101.650513
329      o3   o3_t2_mf_d1         GoogLeNet_pool5/7x7_s1     0.453149
330      o3   o3_t2_mf_d1  GoogLeNet_inception_4a/output   100.954552
331      o3   o3_t2_mf_d1  GoogLeNet_inception_4b/output    78.634872
332      o3   o3_t2_mf_d1          GoogLeNet_pool1/norm1   250.211731
333      o3   o3_t2_mf_d1  GoogLeNet_inception_4d/output    24.447233
334      o3   o3_t2_mf_d1  GoogLeNet_inception_4e/output     6.202542
335      o3   o3_t2_mf_d1                 GoogLeNet_prob     0.000155
336      o3   o3_t2_mf_d2  GoogLeNet_inception_5b/output     1.724690
337      o3   o3_t2_mf_d2          GoogLeNet_conv2/norm2   112.888115
338      o3   o3_t2_mf_d2  GoogLeNet_inception_3a/output   583.259827
339      o3   o3_t2_mf_d2         GoogLeNet_pool4/3x3_s2    11.813814
340      o3   o3_t2_mf_d2  GoogLeNet_inception_5a/output     6.387661
341      o3   o3_t2_mf_d2     GoogLeNet_loss3/classifier     0.906637
342      o3   o3_t2_mf_d2         GoogLeNet_pool3/3x3_s2   256.312347
343      o3   o3_t2_mf_d2  GoogLeNet_inception_4c/output    45.066963
344      o3   o3_t2_mf_d2  GoogLeNet_inception_3b/output    89.937553
345      o3   o3_t2_mf_d2         GoogLeNet_pool5/7x7_s1     0.469975
346      o3   o3_t2_mf_d2  GoogLeNet_inception_4a/output    77.212975
347      o3   o3_t2_mf_d2  GoogLeNet_inception_4b/output    55.665962
348      o3   o3_t2_mf_d2          GoogLeNet_pool1/norm1   184.059067
349      o3   o3_t2_mf_d2  GoogLeNet_inception_4d/output    16.063593
350      o3   o3_t2_mf_d2  GoogLeNet_inception_4e/output     4.405462
351      o3   o3_t2_mf_d2                 GoogLeNet_prob     0.000030
352      o3   o3_t2_rp_d1  GoogLeNet_inception_5b/output     0.960185
353      o3   o3_t2_rp_d1          GoogLeNet_conv2/norm2   135.461182
354      o3   o3_t2_rp_d1  GoogLeNet_inception_3a/output   640.263977
355      o3   o3_t2_rp_d1         GoogLeNet_pool4/3x3_s2     5.850210
356      o3   o3_t2_rp_d1  GoogLeNet_inception_5a/output     3.117690
357      o3   o3_t2_rp_d1     GoogLeNet_loss3/classifier     0.476068
358      o3   o3_t2_rp_d1         GoogLeNet_pool3/3x3_s2   187.182816
359      o3   o3_t2_rp_d1  GoogLeNet_inception_4c/output    28.417397
360      o3   o3_t2_rp_d1  GoogLeNet_inception_3b/output    85.920029
361      o3   o3_t2_rp_d1         GoogLeNet_pool5/7x7_s1     0.207894
362      o3   o3_t2_rp_d1  GoogLeNet_inception_4a/output    60.720699
