     Target    Comparison                         Layer      Distance
123      o2   o2_t1_cs_d1       AlexNet_finetuned_pool1  2.283122e+04
124      o2   o2_t1_cs_d1       AlexNet_finetuned_norm1  8.146614e+02
125      o2   o2_t1_cs_d1       AlexNet_finetuned_pool5  4.421409e+02
126      o2   o2_t1_cs_d2  AlexNet_finetuned_fc8_blocks  1.301524e+01
127      o2   o2_t1_cs_d2         AlexNet_finetuned_fc6  6.963477e+01
128      o2   o2_t1_cs_d2         AlexNet_finetuned_fc7  5.804568e+00
129      o2   o2_t1_cs_d2       AlexNet_finetuned_conv4  5.026698e+02
130      o2   o2_t1_cs_d2        AlexNet_finetuned_prob  1.524563e-02
131      o2   o2_t1_cs_d2       AlexNet_finetuned_conv3  7.683708e+02
132      o2   o2_t1_cs_d2       AlexNet_finetuned_conv2  5.533165e+02
133      o2   o2_t1_cs_d2       AlexNet_finetuned_conv1  7.461139e+03
134      o2   o2_t1_cs_d2       AlexNet_finetuned_conv5  1.860704e+02
135      o2   o2_t1_cs_d2       AlexNet_finetuned_norm2  7.214249e+02
136      o2   o2_t1_cs_d2       AlexNet_finetuned_pool2  1.456228e+03
137      o2   o2_t1_cs_d2       AlexNet_finetuned_pool1  2.261151e+04
138      o2   o2_t1_cs_d2       AlexNet_finetuned_norm1  8.009744e+02
139      o2   o2_t1_cs_d2       AlexNet_finetuned_pool5  5.249209e+02
140      o2   o2_t2_ap_d1  AlexNet_finetuned_fc8_blocks  7.908304e+00
141      o2   o2_t2_ap_d1         AlexNet_finetuned_fc6  4.120935e+01
142      o2   o2_t2_ap_d1         AlexNet_finetuned_fc7  3.553851e+00
143      o2   o2_t2_ap_d1       AlexNet_finetuned_conv4  3.767234e+02
144      o2   o2_t2_ap_d1        AlexNet_finetuned_prob  1.031453e-03
145      o2   o2_t2_ap_d1       AlexNet_finetuned_conv3  5.820692e+02
146      o2   o2_t2_ap_d1       AlexNet_finetuned_conv2  4.864709e+02
147      o2   o2_t2_ap_d1       AlexNet_finetuned_conv1  7.254897e+03
148      o2   o2_t2_ap_d1       AlexNet_finetuned_conv5  1.252306e+02
149      o2   o2_t2_ap_d1       AlexNet_finetuned_norm2  5.426705e+02
150      o2   o2_t2_ap_d1       AlexNet_finetuned_pool2  1.069235e+03
151      o2   o2_t2_ap_d1       AlexNet_finetuned_pool1  2.146117e+04
152      o2   o2_t2_ap_d1       AlexNet_finetuned_norm1  7.054721e+02
153      o2   o2_t2_ap_d1       AlexNet_finetuned_pool5  3.557609e+02
154      o2   o2_t2_ap_d2  AlexNet_finetuned_fc8_blocks  8.117896e+00
155      o2   o2_t2_ap_d2         AlexNet_finetuned_fc6  4.308213e+01
156      o2   o2_t2_ap_d2         AlexNet_finetuned_fc7  3.161135e+00
157      o2   o2_t2_ap_d2       AlexNet_finetuned_conv4  6.044415e+02
158      o2   o2_t2_ap_d2        AlexNet_finetuned_prob  6.676245e-04
159      o2   o2_t2_ap_d2       AlexNet_finetuned_conv3  9.504232e+02
160      o2   o2_t2_ap_d2       AlexNet_finetuned_conv2  6.435717e+02
161      o2   o2_t2_ap_d2       AlexNet_finetuned_conv1  8.028313e+03
162      o2   o2_t2_ap_d2       AlexNet_finetuned_conv5  1.809842e+02
163      o2   o2_t2_ap_d2       AlexNet_finetuned_norm2  9.017922e+02
164      o2   o2_t2_ap_d2       AlexNet_finetuned_pool2  1.814422e+03
165      o2   o2_t2_ap_d2       AlexNet_finetuned_pool1  2.541302e+04
166      o2   o2_t2_ap_d2       AlexNet_finetuned_norm1  9.599808e+02
167      o2   o2_t2_ap_d2       AlexNet_finetuned_pool5  4.761991e+02
168      o2   o2_t2_mf_d1  AlexNet_finetuned_fc8_blocks  2.383700e+01
169      o2   o2_t2_mf_d1         AlexNet_finetuned_fc6  6.624907e+01
170      o2   o2_t2_mf_d1         AlexNet_finetuned_fc7  6.814554e+00
171      o2   o2_t2_mf_d1       AlexNet_finetuned_conv4  5.224722e+02
172      o2   o2_t2_mf_d1        AlexNet_finetuned_prob  1.318567e-02
173      o2   o2_t2_mf_d1       AlexNet_finetuned_conv3  7.908680e+02
174      o2   o2_t2_mf_d1       AlexNet_finetuned_conv2  5.606984e+02
175      o2   o2_t2_mf_d1       AlexNet_finetuned_conv1  6.958849e+03
176      o2   o2_t2_mf_d1       AlexNet_finetuned_conv5  1.715358e+02
177      o2   o2_t2_mf_d1       AlexNet_finetuned_norm2  7.422407e+02
178      o2   o2_t2_mf_d1       AlexNet_finetuned_pool2  1.471276e+03
179      o2   o2_t2_mf_d1       AlexNet_finetuned_pool1  2.103048e+04
180      o2   o2_t2_mf_d1       AlexNet_finetuned_norm1  8.249071e+02
181      o2   o2_t2_mf_d1       AlexNet_finetuned_pool5  5.121575e+02
182      o2   o2_t2_mf_d2  AlexNet_finetuned_fc8_blocks  8.320707e+00
183      o2   o2_t2_mf_d2         AlexNet_finetuned_fc6  5.198497e+01
184      o2   o2_t2_mf_d2         AlexNet_finetuned_fc7  4.496666e+00
185      o2   o2_t2_mf_d2       AlexNet_finetuned_conv4  4.884169e+02
186      o2   o2_t2_mf_d2        AlexNet_finetuned_prob  1.574350e-02
187      o2   o2_t2_mf_d2       AlexNet_finetuned_conv3  7.211093e+02
188      o2   o2_t2_mf_d2       AlexNet_finetuned_conv2  5.340112e+02
189      o2   o2_t2_mf_d2       AlexNet_finetuned_conv1  6.869982e+03
190      o2   o2_t2_mf_d2       AlexNet_finetuned_conv5  1.540114e+02
191      o2   o2_t2_mf_d2       AlexNet_finetuned_norm2  6.843145e+02
192      o2   o2_t2_mf_d2       AlexNet_finetuned_pool2  1.389917e+03
193      o2   o2_t2_mf_d2       AlexNet_finetuned_pool1  2.101369e+04
194      o2   o2_t2_mf_d2       AlexNet_finetuned_norm1  7.523362e+02
195      o2   o2_t2_mf_d2       AlexNet_finetuned_pool5  4.518015e+02
196      o2   o2_t2_rp_d1  AlexNet_finetuned_fc8_blocks  3.541785e+01
197      o2   o2_t2_rp_d1         AlexNet_finetuned_fc6  5.568441e+01
198      o2   o2_t2_rp_d1         AlexNet_finetuned_fc7  6.658347e+00
199      o2   o2_t2_rp_d1       AlexNet_finetuned_conv4  4.248796e+02
200      o2   o2_t2_rp_d1        AlexNet_finetuned_prob  1.356237e-02
201      o2   o2_t2_rp_d1       AlexNet_finetuned_conv3  6.833506e+02
202      o2   o2_t2_rp_d1       AlexNet_finetuned_conv2  4.658829e+02
203      o2   o2_t2_rp_d1       AlexNet_finetuned_conv1  6.531825e+03
204      o2   o2_t2_rp_d1       AlexNet_finetuned_conv5  1.290242e+02
205      o2   o2_t2_rp_d1       AlexNet_finetuned_norm2  6.527819e+02
206      o2   o2_t2_rp_d1       AlexNet_finetuned_pool2  1.290697e+03
207      o2   o2_t2_rp_d1       AlexNet_finetuned_pool1  2.038883e+04
208      o2   o2_t2_rp_d1       AlexNet_finetuned_norm1  7.095435e+02
209      o2   o2_t2_rp_d1       AlexNet_finetuned_pool5  3.978195e+02
210      o2   o2_t2_rp_d2  AlexNet_finetuned_fc8_blocks  1.057255e+01
211      o2   o2_t2_rp_d2         AlexNet_finetuned_fc6  2.934436e+01
212      o2   o2_t2_rp_d2         AlexNet_finetuned_fc7  2.824482e+00
213      o2   o2_t2_rp_d2       AlexNet_finetuned_conv4  3.254809e+02
214      o2   o2_t2_rp_d2        AlexNet_finetuned_prob  1.286638e-02
215      o2   o2_t2_rp_d2       AlexNet_finetuned_conv3  5.234688e+02
216      o2   o2_t2_rp_d2       AlexNet_finetuned_conv2  4.144937e+02
217      o2   o2_t2_rp_d2       AlexNet_finetuned_conv1  5.705837e+03
218      o2   o2_t2_rp_d2       AlexNet_finetuned_conv5  8.782536e+01
219      o2   o2_t2_rp_d2       AlexNet_finetuned_norm2  5.087713e+02
220      o2   o2_t2_rp_d2       AlexNet_finetuned_pool2  1.034206e+03
221      o2   o2_t2_rp_d2       AlexNet_finetuned_pool1  1.553291e+04
222      o2   o2_t2_rp_d2       AlexNet_finetuned_norm1  5.788484e+02
223      o2   o2_t2_rp_d2       AlexNet_finetuned_pool5  2.547279e+02
224      o3   o3_t1_cs_d1  AlexNet_finetuned_fc8_blocks  2.969785e+01
225      o3   o3_t1_cs_d1         AlexNet_finetuned_fc6  4.942600e+01
226      o3   o3_t1_cs_d1         AlexNet_finetuned_fc7  6.880505e+00
227      o3   o3_t1_cs_d1       AlexNet_finetuned_conv4  2.148015e+02
228      o3   o3_t1_cs_d1        AlexNet_finetuned_prob  2.172022e-03
229      o3   o3_t1_cs_d1       AlexNet_finetuned_conv3  3.527556e+02
230      o3   o3_t1_cs_d1       AlexNet_finetuned_conv2  2.702026e+02
231      o3   o3_t1_cs_d1       AlexNet_finetuned_conv1  3.887924e+03
232      o3   o3_t1_cs_d1       AlexNet_finetuned_conv5  7.599503e+01
233      o3   o3_t1_cs_d1       AlexNet_finetuned_norm2  3.486792e+02
234      o3   o3_t1_cs_d1       AlexNet_finetuned_pool2  6.815444e+02
235      o3   o3_t1_cs_d1       AlexNet_finetuned_pool1  1.092438e+04
